CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
HDFC Bank Ltd.,INE040A01034,HDFCBANK,500180,2020-02-03,False,2020-02-03,14030055.000000
HDFC Life Insurance Company Ltd.,INE795G01014,HDFCLIFE,540777,2020-02-03,False,2020-02-03,14020008.000000
HFCL Ltd.,INE548A01028,HFCL,500183,2020-02-03,False,2020-02-03,15140003.000000
HLE Glascoat Ltd.,INE461D01028,HLEGLAS,522215,2020-02-03,False,2020-02-03,14580019.000000
Havells India Ltd.,INE176B01034,HAVELLS,517354,2020-02-03,False,2020-02-03,13150020.000000
Hero MotoCorp Ltd.,INE158A01026,HEROMOTOCO,500182,2020-02-03,False,2020-02-03,10540005.000000
Hindalco Industries Ltd.,INE038A01020,HINDALCO,500440,2020-02-03,False,2020-02-03,15040001.000000
Hindustan Aeronautics Ltd.,INE066F01020,HAL,541154,2020-02-03,False,2020-02-03,13510030.000000
Hindustan Copper Ltd.,INE531E01026,HINDCOPPER,513599,2020-02-03,False,2020-02-03,15100035.000000
Hindustan Petroleum Corporation Ltd.,INE094A01015,HINDPETRO,500104,2020-02-03,False,2020-02-03,12140018.000000
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,500696,2020-02-03,False,2020-02-03,12520002.000000
Hindustan Zinc Ltd.,INE267A01025,HINDZINC,500188,2020-02-03,False,2020-02-03,15100034.000000
Honeywell Automation India Ltd.,INE671A01010,HONAUT,517174,2020-02-03,False,2020-02-03,13040004.000000
Housing and Urban Development Corporation Ltd.,INE031A01017,HUDCO,540530,2020-02-03,False,2020-02-03,14040026.000000
ICICI Bank Ltd.,INE090A01021,ICICIBANK,532174,2020-02-03,False,2020-02-03,14030056.000000
ICICI Lombard General Insurance Company Ltd.,INE765G01017,ICICIGI,540716,2020-02-03,False,2020-02-03,14020007.000000
ICICI Prudential Life Insurance Company Ltd.,INE726G01019,ICICIPRULI,540133,2020-02-03,False,2020-02-03,14020006.000000
ICICI Securities Ltd.,INE763G01038,ISEC,541179,2020-02-03,False,2020-02-03,14040001.030000
IDBI Bank Ltd.,INE008A01015,IDBI,500116,2020-02-03,False,2020-02-03,14040004.000000
IDFC First Bank Ltd.,INE092T01019,IDFCFIRSTB,539437,2020-02-03,False,2020-02-03,14100051.000000
IDFC Ltd.,INE043D01016,IDFC,532659,2020-02-03,False,2020-02-03,14040034.000000
IIFL Finance Ltd.,INE530B01024,IIFL,532636,2020-02-03,False,2020-02-03,14010485.000000
IRB Infrastructure Developers Ltd.,INE821I01022,IRB,532947,2020-02-03,False,2020-02-03,11600148.000000
Ircon International Ltd.,INE962Y01021,IRCON,541956,2020-02-03,False,2020-02-03,11600033.000000
ITC Ltd.,INE154A01025,ITC,500875,2020-02-03,False,2020-02-03,12630003.000000
ITI Ltd.,INE248A01017,ITI,523610,2020-02-03,False,2020-02-03,15140018.000000
India Cements Ltd.,INE383A01012,INDIACEM,530005,2020-02-03,False,2020-02-03,11510006.000000
Indiabulls Housing Finance Ltd.,INE148I01020,IBULHSGFIN,535789,2020-02-03,False,2020-02-03,14010549.000000
IndiaMART InterMESH Ltd.,INE933S01016,INDIAMART,542726,2020-02-03,False,2020-02-03,13191988.000000
Indian Bank,INE562A01011,INDIANB,532814,2020-02-03,False,2020-02-03,14030019.000000
Indian Energy Exchange Ltd.,INE022Q01020,IEX,540750,2020-02-03,False,2020-02-03,17025175.000000
