Company,ISIN,NSECode,BSECode,Date,MFList
Jubilant Ingrevia Ltd.,INE0BY001018,JUBLINGREA,543271.000000,2024-02-01,False
Jubilant Pharmova Ltd.,INE700A01033,JUBLPHARMA,530019.000000,2024-02-01,False
Justdial Ltd.,INE599M01018,JUSTDIAL,535648.000000,2024-02-01,False
Jyothy Labs Ltd.,INE668F01031,JYOTHYLAB,532926.000000,2024-02-01,False
K.P.R. Mill Ltd.,INE930H01031,KPRMILL,532889.000000,2024-02-01,False
KEI Industries Ltd.,INE878B01027,KEI,517569.000000,2024-02-01,False
KNR Constructions Ltd.,INE634I01029,KNRCON,532942.000000,2024-02-01,False
KPIT Technologies Ltd.,INE04I401011,KPITTECH,542651.000000,2024-02-01,False
KRBL Ltd.,INE001B01026,KRBL,530813.000000,2024-02-01,False
KSB Ltd.,INE999A01015,KSB,500249.000000,2024-02-01,False
Kajaria Ceramics Ltd.,INE217B01036,KAJARIACER,500233.000000,2024-02-01,False
Kalpataru Projects International Ltd.,INE220B01022,KPIL,522287.000000,2024-02-01,False
Kalyan Jewellers India Ltd.,INE303R01014,KALYANKJIL,543278.000000,2024-02-01,False
Kansai Nerolac Paints Ltd.,INE531A01024,KANSAINER,500165.000000,2024-02-01,False
Karur Vysya Bank Ltd.,INE036D01028,KARURVYSYA,,2024-02-01,False
Kaynes Technology India Ltd.,INE918Z01012,KAYNES,543664.000000,2024-02-01,False
Kec International Ltd.,INE389H01022,KEC,532714.000000,2024-02-01,False
Kfin Technologies Ltd.,INE138Y01010,KFINTECH,,2024-02-01,False
Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,500247.000000,2024-02-01,False
Krishna Institute of Medical Sciences Ltd.,INE967H01017,KIMS,543308.000000,2024-02-01,False
L&T Finance Holdings Ltd.,INE498L01015,L&TFH,533519.000000,2024-02-01,False
L&T Technology Services Ltd.,INE010V01017,LTTS,540115.000000,2024-02-01,False
LIC Housing Finance Ltd.,INE115A01026,LICHSGFIN,500253.000000,2024-02-01,False
LTIMindtree Ltd.,INE214T01019,LTIM,540005.000000,2024-02-01,False
Lakshmi Machine Works Ltd.,INE269B01029,LAXMIMACH,500252.000000,2024-02-01,False
Larsen & Toubro Ltd.,INE018A01030,LT,500510.000000,2024-02-01,False
Latent View Analytics Ltd.,INE0I7C01011,LATENTVIEW,543398.000000,2024-02-01,False
Laurus Labs Ltd.,INE947Q01028,LAURUSLABS,540222.000000,2024-02-01,False
Laxmi Organic Industries Ltd.,INE576O01020,LXCHEM,543277.000000,2024-02-01,False
Lemon Tree Hotels Ltd.,INE970X01018,LEMONTREE,541233.000000,2024-02-01,False
Life Insurance Corporation of India,INE0J1Y01017,LICI,543526.000000,2024-02-01,False
Linde India Ltd.,INE473A01011,LINDEINDIA,523457.000000,2024-02-01,False
Lupin Ltd.,INE326A01037,LUPIN,500257.000000,2024-02-01,False
Lux Industries Ltd.,INE150G01020,LUXIND,,2024-02-01,False
MMTC Ltd.,INE123F01029,MMTC,513377.000000,2024-02-01,False
MRF Ltd.,INE883A01011,MRF,500290.000000,2024-02-01,False
MTAR Technologies Ltd.,INE864I01014,MTARTECH,,2024-02-01,False
Macrotech Developers Ltd.,INE670K01029,LODHA,543287.000000,2024-02-01,False
Mahanagar Gas Ltd.,INE002S01010,MGL,539957.000000,2024-02-01,False
Mahindra & Mahindra Financial Services Ltd.,INE774D01024,M&MFIN,532720.000000,2024-02-01,False
Mahindra & Mahindra Ltd.,INE101A01026,M&M,500520.000000,2024-02-01,False
Mahindra Holidays & Resorts India Ltd.,INE998I01010,MHRIL,533088.000000,2024-02-01,False
Mahindra Lifespace Developers Ltd.,INE813A01018,MAHLIFE,532313.000000,2024-02-01,False
Manappuram Finance Ltd.,INE522D01027,MANAPPURAM,531213.000000,2024-02-01,False
Mangalore Refinery & Petrochemicals Ltd.,INE103A01014,MRPL,500109.000000,2024-02-01,False
Mankind Pharma Ltd.,INE634S01028,MANKIND,543904.000000,2024-02-01,False
