CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
Equitas Small Finance Bank Ltd.,INE063P01018,EQUITASBNK,543243.000000,2024-02-01,True,14094717.000000,2024-02-01
Eris Lifesciences Ltd.,INE406M01024,ERIS,540596.000000,2024-02-01,True,12541321.000000,2024-02-01
Escorts Kubota Ltd.,INE042A01014,ESCORTS,500495.000000,2024-02-01,True,10540004.000000,2024-02-01
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086.000000,2024-02-01,True,10550001.000000,2024-02-01
FDC Ltd.,INE258B01022,FDC,531599.000000,2024-02-01,True,12540116.000000,2024-02-01
FSN E-Commerce Ventures Ltd.,INE388Y01029,NYKAA,543384.000000,2024-02-01,True,17170015.000000,2024-02-01
Federal Bank Ltd.,INE171A01029,FEDERALBNK,500469.000000,2024-02-01,True,14030062.000000,2024-02-01
The Fertilisers and Chemicals Travancore Ltd.,INE188A01015,FACT,590024.000000,2024-02-01,True,12100017.000000,2024-02-01
Fine Organic Industries Ltd.,INE686Y01026,FINEORG,541557.000000,2024-02-01,True,12070173.000000,2024-02-01
Finolex Cables Ltd.,INE235A01022,FINCABLES,500144.000000,2024-02-01,True,15060001.000000,2024-02-01
Finolex Industries Ltd.,INE183A01024,FINPIPE,500940.000000,2024-02-01,True,12190003.000000,2024-02-01
Firstsource Solutions Ltd.,INE684F01012,FSL,532809.000000,2024-02-01,True,14010399.000000,2024-02-01
Five-Star Business Finance Ltd.,INE128S01021,FIVESTAR,543663.000000,2024-02-01,True,14092284.000000,2024-02-01
Fortis Healthcare Ltd.,INE061F01013,FORTIS,532843.000000,2024-02-01,True,12540511.000000,2024-02-01
G R Infraprojects Ltd.,INE201P01022,GRINFRA,543317.000000,2024-02-01,True,15210389.000000,2024-02-01
GAIL (India) Ltd.,INE129A01019,GAIL,532155.000000,2024-02-01,True,15120010.000000,2024-02-01
GMM Pfaudler Ltd.,INE541A01023,GMMPFAUDLR,505255.000000,2024-02-01,True,13510006.000000,2024-02-01
GMR Airports Infrastructure Ltd.,INE776C01039,GMRINFRA,532754.000000,2024-02-01,True,15210029.000000,2024-02-01
Galaxy Surfactants Ltd.,INE600K01018,GALAXYSURF,540935.000000,2024-02-01,True,12010007.000000,2024-02-01
General Insurance Corporation of India,INE481Y01014,GICRE,540755.000000,2024-02-01,True,12052001.000000,2024-02-01
Gillette India Ltd.,INE322A01010,GILLETTE,507815.000000,2024-02-01,True,12520003.000000,2024-02-01
Gland Pharma Ltd.,INE068V01023,GLAND,543245.000000,2024-02-01,True,12541635.000000,2024-02-01
GlaxoSmithKline Pharmaceuticals Ltd.,INE159A01016,GLAXO,500660.000000,2024-02-01,True,12540022.000000,2024-02-01
Glenmark Life Sciences Ltd.,INE03Q201024,GLS,543322.000000,2024-02-01,True,12541611.000000,2024-02-01
Glenmark Pharmaceuticals Ltd.,INE935A01035,GLENMARK,532296.000000,2024-02-01,True,12540399.000000,2024-02-01
Global Health Ltd.,INE474Q01031,MEDANTA,543654.000000,2024-02-01,True,16550678.000000,2024-02-01
