CompanyCode,CompanyName,ShortCompanyName,TickerName,ParentCompanyCode,PersonDescription,PersonName,ExecutiveDescription,ExecutiveName,BSECode,BSEGroup,NSECode,ISINCode,Sourcetype,IncorporationDate,FirstPublicIssueDate,Auditeddate,FaceValue,Marketlot,IndustryCode,IndustryName,BusinessGroupCode,BusinessGroupName,MajorSector,latestFinYear,ForemostFinYear,LatestHalfYear,ForemostHalfYear,LatestQtrYear,ForemostQtrYear,ModifiedDate
16530317.0,Pudumjee Paper Products Ltd.,Pudumjee Paper Produ,Pudumj.Paper,0.0,Mr.,A K Jatia,Mr.,Vinay Jadhav,539785.0,B,PDMJEPAPER,INE865T01018,A,2015-01-14,,,1.0,1.0,653,Paper & Paper Products,10514,Not Applicable,1,2203,1503,2203,1503,2206.0,1603.0,2022-08-01 07:20:04
16560014.0,Ras Resorts & Apart Hotels Ltd.,Ras Resorts,RasResrt&Apr,0.0,,,Ms.,Binita Patel,507966.0,X,,INE651D01016,A,1985-01-10,,,10.0,1.0,662,"Hotels, Resorts & Restaurants",10514,Not Applicable,1,2203,9003,2203,9003,2206.0,9806.0,2022-08-01 07:20:04
16560125.0,Mahindra Holidays & Resorts India Ltd.,Mahindra Holidays,Mah.Holidays,10520003.09,Mr.,Kavinder Singh,Mr.,Dhanraj Mulki,533088.0,A,MHRIL,INE998I01010,A,1996-09-20,2009-06-23,,10.0,1.0,662,"Hotels, Resorts & Restaurants",10097,Mahindra Group,1,2203,503,2203,503,2206.0,806.0,2022-08-01 07:20:04
16610004.0,Singer India Ltd.,Singer India,Singer India,0.0,Mr.,Rajeev Bajaj,Ms.,Priyanka Gandhi,505729.0,X,,INE638A01035,A,1977-10-19,,,2.0,1.0,352,Engineering - General,11169,MNC Associate,1,2103,8903,2203,8903,2206.0,9706.0,2022-08-01 07:20:04
16690363.0,CARE Ratings Ltd.,CARE Ratings,CARE Rating,0.0,Mr.,Ajay Mahajan,Ms.,Nehal Shah,534804.0,A,CARERATING,INE752H01013,A,1993-04-21,2012-12-07,,10.0,1.0,669,Services - Others,10514,Not Applicable,1,2103,803,2203,803,2206.0,1206.0,2022-08-01 07:20:04
16691671.0,EKI Energy Services Ltd.,EKI Energy Services,EKI Energy,0.0,Mr.,Manish Kumar Dabkara,Ms.,Itisha Sahu,543284.0,B,,INE0CPR01018,A,2011-05-03,2021-03-24,2021-06-16,10.0,1.0,669,Services - Others,10514,Not Applicable,1,2103,1803,2203,1803,2206.0,2106.0,2022-08-01 07:20:04
17010086.0,Godawari Power & Ispat Ltd.,Godawari Power & Isp,Godawari Pow,0.0,Mr.,B L Agrawal,Mr.,Y C Rao,532734.0,A,GPIL,INE177H01021,A,1999-09-21,2006-04-28,,5.0,1.0,556,Steel - Sponge Iron,11113,Hira Group,1,2103,103,2203,503,2206.0,503.0,2022-08-01 07:20:04
17020148.0,KDDL Ltd.,KDDL Ltd.,Kamla Dials,0.0,Mr.,Yashovardhan Saboo,Mr.,Brahm Prakash Kumar,532054.0,B,KDDL,INE291D01011,A,1981-01-08,1983-06-10,,10.0,1.0,260,Watches,10514,Not Applicable,1,2103,9203,2203,9303,2206.0,9706.0,2022-08-01 07:20:04
17024047.0,Mallcom (India) Ltd.,Mallcom (India) L,MallcomIndia,0.0,Mr.,Ajay Kumar Mall,Mr.,Shuvanki Purakayastha,539400.0,B,MALLCOM,INE389C01015,A,1983-12-13,,,10.0,1.0,651,Leather/Synthetic Products,10514,Not Applicable,1,2103,3,2203,9,2206.0,3.0,2022-08-01 07:20:04
17025800.0,Kesar Terminals & Infrastructure Ltd.,Kesar Terminals & In,Kesar Termi,0.0,Mr.,H R Kilachand,Mrs.,Sarika Singh,533289.0,XT,,INE096L01025,A,2008-01-21,,,5.0,1.0,521,Infrastructure - General,10078,Kilachand Group,1,2103,903,2203,909,2203.0,912.0,2022-08-01 07:20:04
17028354.0,Manaksia Aluminium Company Ltd.,Manaksia Aluminium,Manak.Alumin,0.0,Mr.,Ajay Kumar Chakraborty,Mr.,Vivek Jain,539045.0,B,MANAKALUCO,INE859Q01017,A,2010-03-25,,,1.0,1.0,504,Aluminium,10514,Not Applicable,1,2103,1203,2203,1203,2206.0,1403.0,2022-08-01 07:20:04
17028356.0,Manaksia Coated Metals & Industries Ltd.,Manaksia Coated Meta,Manak.Coated,0.0,Mr.,Sushil Kumar Agrawal,Ms.,Sailja Gupta,539046.0,B,MANAKCOAT,INE830Q01018,A,2010-03-25,,,1.0,1.0,502,Aluminium - Sheets/Coils/Wires,10514,Not Applicable,1,2103,1203,2203,1203,2206.0,1403.0,2022-08-01 07:20:04
17040678.0,SDC Techmedia Ltd.,SDC Techmedia,Onesour.Tech,0.0,Mr.,Fayaz Usman Faheed,Mr.,Chandramouli Banerjee,535647.0,M,,INE807O01011,A,2008-05-30,2013-05-17,2021-10-13,10.0,10000.0,704,Entertainment & Media,10514,Not Applicable,1,2103,903,2203,903,,,2022-08-01 07:20:04
17080067.0,DB Corp Ltd.,DB Corp,DB Corp,0.0,Mr.,Sudhir Agarwal,Ms.,Anita Gokhale,533151.0,B,DBCORP,INE950I01011,A,1995-10-27,2009-12-11,,10.0,1.0,708,Printing/Publishing/Stationery,11364,Dainik Bhaskar Group,1,2103,503,2203,603,2206.0,812.0,2022-08-01 07:20:04
17090175.0,Easy Trip Planners Ltd.,Easy Trip Planners,Easy Trip,0.0,Mr.,Nishant Pitti,Ms.,Preeti Sharma,543272.0,A,EASEMYTRIP,INE07O001018,A,2008-06-04,2021-03-08,,2.0,1.0,709,Travel Agen. / Tourism Deve. / Amusement Park,10514,Not Applicable,1,2103,1803,2203,1803,2206.0,2003.0,2022-08-01 07:20:04
17160039.0,Future Supply Chain Solutions Ltd.,Future Supply Chain,FutureSupply,0.0,Mr.,Mayur Toshniwal,Mr.,Vimal K Dhruve,540798.0,T,FSC,INE935Q01015,A,2006-03-08,2017-12-06,,10.0,1.0,716,Logistics - Warehousing/Supply Chain/Others,11179,Future Group,1,2103,1003,2203,1203,2203.0,1612.0,2022-08-01 07:20:04
17170013.0,CarTrade Tech Ltd.,CarTrade Tech,CarTradeTech,0.0,,,Mr.,Lalbahadur Pal,543333.0,A,CARTRADE,INE290S01011,A,2000-04-28,2021-07-09,2021-07-13,10.0,1.0,717,E-Commerce - Electronics/Food/Others,10514,Not Applicable,1,2103,1703,2203,1703,2206.0,2006.0,2022-08-01 07:20:04
